tile,인구격자,SHP매칭,매칭률
가다,23,23,100.0
가라,22,22,100.0
가사,272,272,100.0
가아,115,115,100.0
나나,7882,7882,100.0
나다,701,701,100.0
나라,12737,12737,100.0
나마,283,283,100.0
나바,9161,9161,100.0
나사,1623,1623,100.0
다나,10205,10205,100.0
다다,9941,9941,100.0
다라,72900,72900,100.0
다마,84959,84959,100.0
다바,136295,136295,100.0
다사,185584,185584,100.0
다아,7916,7916,100.0
라다,2,2,100.0
라라,50019,50019,100.0
라마,70068,70068,100.0
라바,68465,68465,100.0
라사,66883,66883,100.0
라아,11860,11860,100.0
마라,29960,29960,100.0
마마,74048,74048,100.0
마바,28928,28928,100.0
마사,19207,19207,100.0
마아,558,558,100.0
바사,331,331,100.0
사사,188,188,100.0
