행정동코드,시군구코드,시군구명,행정동명,집계구수,격자인구,총인구,65세이상인구,접근100m_인구,접근200m_인구,접근300m_인구,AED대수,AED고유설치지점수,최소_AED거리,100m_접근율,100m_미접근인구,200m_접근율,200m_미접근인구,300m_접근율,300m_미접근인구,평균_AED거리,고령인구비율,접근성취약점수,미접근인구점수,인구점수,고령인구점수,우선검토점수,지역명
11120710,11120,은평구,진관동,94,51998.0,47460,8714.0,12404.0,35153.0,44057.0,56,35,7.638451955209882,23.854763644755568,39594.0,67.60452325089426,16845.0,84.72825877918382,7941.0,191.5983930798342,18.36072482090181,0.15271741220816182,1.0,1.0,1.0,78.81793530520405,은평구 진관동
11230760,11230,강남구,세곡동,77,44817.0,39392,7097.0,17232.0,35744.0,42344.0,53,41,10.771459692965182,38.44969542807417,27585.0,79.75544994087065,9073.0,94.48200459647009,2473.0,145.5182979338013,18.016348497156784,0.05517995403529907,0.9835680751173709,0.9859154929577465,0.9812206572769953,75.14710448468529,강남구 세곡동
11170730,11170,구로구,오류2동,68,35824.0,33760,7298.0,15312.0,29299.0,33821.0,55,49,7.155240123848211,42.742295667708795,20512.0,81.78595355069227,6525.0,94.4087762393926,2003.0,132.4423979303447,21.61729857819905,0.05591223760607411,0.971830985915493,0.9366197183098591,0.9906103286384976,73.8743317617481,구로구 오류2동
11220660,11220,서초구,양재1동,72,39300.0,34665,6733.0,18051.0,32815.0,38325.0,73,42,13.730914921285668,45.93129770992366,21249.0,83.49872773536896,6485.0,97.51908396946564,975.0,131.2918503341217,19.423049185056975,0.024809160305343636,0.9107981220657277,0.9647887323943662,0.9741784037558685,71.86436046303265,서초구 양재1동
11170710,11170,구로구,구로2동,60,34803.0,29656,6627.0,7347.0,24106.0,33617.0,20,16,13.351899195964576,21.110249116455478,27456.0,69.26414389564118,10697.0,96.59224779473034,1186.0,167.92395304084502,22.34623684920421,0.03407752205269654,0.9295774647887324,0.9178403755868545,0.9694835680751174,71.27447326258502,구로구 구로2동
11120570,11120,은평구,구산동,49,30795.0,25940,5680.0,8984.0,23681.0,28549.0,24,18,7.360431797398765,29.173567137522326,21811.0,76.89884721545705,7114.0,92.70660821561943,2246.0,152.3542783082997,21.89668465690054,0.07293391784380576,0.9788732394366197,0.8403755868544601,0.9225352112676056,70.36794888506228,은평구 구산동
11160730,11160,강서구,화곡1동,76,49016.0,39221,7597.0,16315.0,41164.0,48661.0,23,15,5.460441599814272,33.28504977966379,32701.0,83.98074098253632,7852.0,99.27574669495675,355.0,131.19889288170432,19.369725402208,0.0072425330504324315,0.8098591549295775,0.9953051643192489,0.9953051643192489,70.1928004154627,강서구 화곡1동
11120520,11120,은평구,불광1동,63,35890.0,31488,7265.0,15383.0,30244.0,35328.0,20,15,14.808905635017393,42.861521315129565,20507.0,84.26859849540263,5646.0,98.4341042073001,562.0,127.27111366991836,23.07228150406504,0.015658957926999006,0.8626760563380281,0.9389671361502347,0.9882629107981221,70.1391265303346,은평구 불광1동
11240600,11240,송파구,오금동,68,35014.0,32166,6271.0,13614.0,28792.0,34325.0,36,31,4.288527220814998,38.88159022105444,21400.0,82.22996515679442,6222.0,98.03221568515451,689.0,128.06691447141213,19.495740844369834,0.019677843148454888,0.8849765258215962,0.9272300469483568,0.9553990610328639,69.6820869237818,송파구 오금동
11240800,11240,송파구,잠실3동,51,31840.0,24148,4868.0,8672.0,22777.0,29242.0,32,19,10.364664125382365,27.236180904522612,23168.0,71.5358040201005,9063.0,91.84045226130654,2598.0,155.87684442523542,20.159019380487,0.08159547738693462,0.9882629107981221,0.8615023474178404,0.8427230046948356,69.35209350744331,송파구 잠실3동
11110560,11110,노원구,공릉2동,70,44301.0,35616,4891.0,30993.0,42556.0,43181.0,82,73,9.208283381989292,69.96004604862193,13308.0,96.06103699690752,1745.0,97.47184036477732,1120.0,80.83586088922823,13.73259209344115,0.02528159635222682,0.92018779342723,0.9812206572769953,0.8450704225352113,69.29401173979159,노원구 공릉2동
11120510,11120,은평구,녹번동,59,35011.0,28676,6534.0,13835.0,29351.0,34453.0,36,29,2.6606174270932472,39.51615206649339,21176.0,83.83365228071177,5660.0,98.40621518951187,558.0,125.74448154916625,22.785604686846142,0.015937848104881303,0.8591549295774648,0.9248826291079812,0.9624413145539906,69.06041803360795,은평구 녹번동
11160740,11160,강서구,우장산동,63,42345.0,30737,5163.0,14446.0,36294.0,41773.0,19,16,19.463819997741467,34.11500767505019,27899.0,85.7102373361672,6051.0,98.6491911677884,572.0,130.3805584753364,16.797345219117023,0.01350808832211603,0.8661971830985915,0.9788732394366197,0.892018779342723,68.76493225500126,강서구 우장산동
11090750,11090,강북구,인수동,53,27977.0,26702,7148.0,10320.0,23428.0,26688.0,32,27,14.801139636929683,36.88744325696108,17657.0,83.74021517675233,4549.0,95.39264395753655,1289.0,134.12669550769547,26.76953037225676,0.04607356042463451,0.9389671361502347,0.7793427230046949,0.9835680751173709,68.69878736742338,강북구 인수동
11050580,11050,광진구,중곡4동,46,26081.0,23724,5118.0,8061.0,17989.0,22445.0,14,12,5.941113912865235,30.907557225566507,18020.0,68.97358230129213,8092.0,86.05881676316092,3636.0,172.51784499653843,21.573090541224076,0.13941183236839083,0.9953051643192489,0.7276995305164319,0.8849765258215962,68.6848263256417,광진구 중곡4동
11230790,11230,강남구,대치2동,56,36061.0,29752,4552.0,7313.0,19472.0,34387.0,71,30,6.85910508391478,20.279526358115415,28748.0,53.99739330578741,16589.0,95.35786583844043,1674.0,177.12644029145733,15.299811777359507,0.046421341615595635,0.9530516431924883,0.9436619718309859,0.7981220657276995,68.53142555916924,강남구 대치2동
11200560,11200,동작구,상도4동,51,28412.0,25246,5040.0,6008.0,19130.0,26613.0,10,9,17.45791503310601,21.145994650147827,22404.0,67.33070533577362,9282.0,93.66816837955794,1799.0,162.08270178307083,19.963558583537985,0.06331831620442063,0.960093896713615,0.7934272300469484,0.8685446009389671,67.13460109759878,동작구 상도4동
11170640,11170,구로구,개봉2동,42,28733.0,20345,5058.0,11860.0,23010.0,27304.0,13,8,22.003811283323977,41.27658093481363,16873.0,80.08213552361396,5723.0,95.02662443879859,1429.0,138.45363728383066,24.861145244531826,0.0497337556120141,0.9460093896713615,0.8098591549295775,0.8708920187793427,66.91235797480739,구로구 개봉2동
11130760,11130,서대문구,연희동,68,35605.0,34107,5856.0,12797.0,29276.0,35345.0,45,37,8.714972919657317,35.94158123859009,22808.0,82.22440668445444,6329.0,99.26976548237607,260.0,133.3184207010447,17.169495997888998,0.007302345176239289,0.7922535211267606,0.9295774647887324,0.9366197183098591,66.64382623503978,서대문구 연희동
11070730,11070,중랑구,망우본동,63,37951.0,31536,6715.0,17149.0,33992.0,37925.0,48,42,5.283534579334373,45.18721509314643,20802.0,89.5681273220732,3959.0,99.93149060630813,26.0,118.12092563055964,21.293125317097918,0.0006850939369187348,0.715962441314554,0.9553990610328639,0.971830985915493,66.09693955499574,중랑구 망우본동
11120650,11120,은평구,신사1동,42,25475.0,19925,4286.0,4968.0,11838.0,20434.0,4,3,25.712302107146566,19.501472031403335,20507.0,46.46908734052993,13637.0,80.21197252208047,5041.0,205.38084780378787,21.510664993726476,0.19788027477919523,0.9976525821596244,0.6995305164319249,0.7464788732394366,66.03855616525452,은평구 신사1동
11110650,11110,노원구,상계1동,61,36142.0,29476,6799.0,27320.0,36122.0,36132.0,44,43,6.34993946878591,75.59072547175032,8822.0,99.94466271927398,20.0,99.972331359637,10.0,72.34146812822327,23.06622336816393,0.00027668640362998875,0.6936619718309859,0.9460093896713615,0.9765258215962441,65.41184673755554,노원구 상계1동
11060830,11060,동대문구,전농1동,53,32901.0,26848,5072.0,13870.0,27866.0,32429.0,39,18,15.795928873394345,42.156773350354094,19031.0,84.69651378377557,5035.0,98.5653931491444,472.0,120.59129178267438,18.891537544696067,0.01434606850855602,0.8333333333333334,0.8826291079812206,0.8779342723004695,65.20606955308949,동대문구 전농1동
11130680,11130,서대문구,홍은2동,52,28660.0,26257,5078.0,10820.0,25669.0,27884.0,42,39,11.536101442853708,37.7529658060014,17840.0,89.56385205861828,2991.0,97.29239357990231,776.0,126.14426682000125,19.33960467684808,0.027076064200976857,0.8943661971830986,0.8028169014084507,0.8802816901408451,65.11352132333428,서대문구 홍은2동
11250750,11250,강동구,강일동,61,34164.0,30252,5862.0,21339.0,33886.0,34095.0,48,38,4.246702091100288,62.46048472075869,12825.0,99.18627795340123,278.0,99.7980330172111,69.0,89.74318774131217,19.377231257437526,0.002019669827889037,0.7394366197183099,0.9061032863849765,0.9389671361502347,64.66316780203525,강동구 강일동
11120560,11120,은평구,갈현2동,46,26686.0,24075,4958.0,4569.0,15747.0,25615.0,11,7,19.00523855728761,17.12133703065278,22117.0,59.00846886007645,10939.0,95.986659671738,1071.0,172.83809263964213,20.59397715472482,0.04013340328262005,0.9178403755868545,0.7464788732394366,0.8615023474178404,64.14887498816879,은평구 갈현2동
11230640,11230,강남구,역삼1동,63,34220.0,31281,3482.0,5974.0,20661.0,30922.0,108,36,12.784798475558626,17.457627118644066,28246.0,60.376972530683815,13559.0,90.3623611922852,3298.0,181.24382526022632,11.131357693168377,0.09637638807714799,0.9929577464788732,0.9107981220657277,0.5657276995305164,64.14649890380663,강남구 역삼1동
11070690,11070,중랑구,신내1동,59,35915.0,28854,6096.0,14954.0,34123.0,35910.0,44,21,2.7957181563847775,41.63719894194627,20961.0,95.01044131978283,1792.0,99.98607824028957,5.0,114.02665173988677,21.12705344146392,0.0001392175971042242,0.6748826291079812,0.9413145539906104,0.9483568075117371,64.11733020518582,중랑구 신내1동
11220530,11220,서초구,서초3동,57,30083.0,28576,4655.0,8833.0,21632.0,29521.0,86,39,4.5424520622781195,29.36209819499385,21250.0,71.9077219692185,8451.0,98.13183525579231,562.0,149.87869119785816,16.289893617021274,0.0186816474420769,0.8626760563380281,0.8333333333333334,0.8098591549295775,63.113754801075395,서초구 서초3동
11250760,11250,강동구,상일1동,54,38048.0,27155,3730.0,12717.0,33000.0,37084.0,36,21,15.01834385941093,33.42357022708158,25331.0,86.73254835996636,5048.0,97.4663582842725,964.0,127.47902907085921,13.73596022831891,0.02533641715727497,0.9084507042253521,0.9577464788732394,0.6126760563380281,62.60524141484737,강동구 상일1동
