행정동코드,시군구코드,시군구명,행정동명,집계구수,격자인구,총인구,65세이상인구,접근100m_인구,접근200m_인구,접근300m_인구,AED대수,AED고유설치지점수,최소_AED거리,100m_접근율,100m_미접근인구,200m_접근율,200m_미접근인구,300m_접근율,300m_미접근인구,평균_AED거리,고령인구비율,접근성취약점수,미접근인구점수,인구점수,고령인구점수,우선검토점수,지역명
11010530,11010,종로구,사직동,16,8472.0,7612,1603.0,4043.0,8068.0,8472.0,87,35,12.920050190093464,47.7219074598678,4429.0,95.23135033050048,404.0,100.0,0.0,95.45079754216485,21.05885444035733,0.0,0.33098591549295775,0.051643192488262914,0.0892018779342723,11.795774647887324,종로구 사직동
11010540,11010,종로구,삼청동,5,1941.0,2060,570.0,587.0,1745.0,1941.0,22,11,32.46362927670913,30.24214322514168,1354.0,89.90211231324061,196.0,100.0,0.0,125.72695376376106,27.669902912621357,0.0,0.33098591549295775,0.009389671361502348,0.011737089201877934,8.802816901408452,종로구 삼청동
11010550,11010,종로구,부암동,17,9203.0,9057,1900.0,1636.0,5110.0,7082.0,8,7,30.193819067738545,17.776811909160056,7567.0,55.52537216125176,4093.0,76.95316744539824,2121.0,233.57151783065285,20.97824886827868,0.2304683255460176,0.9741784037558685,0.07042253521126761,0.15492957746478872,35.74997104944856,종로구 부암동
11010560,11010,종로구,평창동,30,16357.0,16392,3771.0,3231.0,8679.0,13814.0,22,20,5.597547466149446,19.753010943327016,13126.0,53.059852051109615,7678.0,84.45313932872777,2543.0,207.55329707141223,23.005124450951683,0.15546860671272222,0.9859154929577465,0.2605633802816901,0.6291079812206573,50.77638652932039,종로구 평창동
11010570,11010,종로구,무악동,12,7646.0,5206,826.0,5782.0,7628.0,7641.0,8,8,9.662320582908599,75.62123986398117,1864.0,99.76458278838608,18.0,99.93460633010724,5.0,81.70724862647192,15.866308106031502,0.0006539366989275486,0.6748826291079812,0.04460093896713615,0.028169014084507043,18.707662971463797,종로구 무악동
11010580,11010,종로구,교남동,17,8826.0,7210,1244.0,5472.0,8826.0,8826.0,14,9,31.21844454748797,61.9986403806934,3354.0,100.0,0.0,100.0,0.0,83.81878732872707,17.253814147018034,0.0,0.33098591549295775,0.056338028169014086,0.046948356807511735,10.85680751173709,종로구 교남동
11010600,11010,종로구,가회동,8,3654.0,3659,781.0,2189.0,3553.0,3654.0,20,10,4.833999333311102,59.90695128626163,1465.0,97.23590585659552,101.0,100.0,0.0,101.67487835917035,21.344629680240505,0.0,0.33098591549295775,0.01643192488262911,0.018779342723004695,9.15492957746479,종로구 가회동
11010610,11010,종로구,종로1·2·3·4가동,14,9106.0,6892,1561.0,6860.0,9055.0,9063.0,131,72,8.688429889947573,75.33494399297167,2246.0,99.43992971667032,51.0,99.52778387876126,43.0,86.02861645791363,22.649448636099827,0.0047221612123874435,0.7253521126760564,0.06572769953051644,0.07981220657276995,21.890354499793258,종로구 종로1·2·3·4가동
11010630,11010,종로구,종로5·6가동,11,5556.0,4897,819.0,2154.0,4697.0,5556.0,29,19,7.249914482059144,38.76889848812095,3402.0,84.53923686105111,859.0,100.0,0.0,118.77775529038685,16.724525219522157,0.0,0.33098591549295775,0.025821596244131457,0.023474178403755867,9.507042253521126,종로구 종로5·6가동
11010640,11010,종로구,이화동,15,8060.0,7353,1166.0,3129.0,6979.0,8037.0,36,17,19.082302884339136,38.821339950372206,4931.0,86.58808933002481,1081.0,99.71464019851116,23.0,126.25935496190188,15.857473140214879,0.002853598014888381,0.7112676056338029,0.046948356807511735,0.03990610328638498,20.0243915935647,종로구 이화동
